54637,HUSTLER,WI,608,HUSTLER,,P,JUNEAU,55,57,6,Y,43.88,-90.271667,928,,,,,,2.6,42,768,24,42,0,0,15625,55000
54638,KENDALL,WI,608,KENDALL,,P,MONROE,55,81,6,Y,43.810537,-90.403977,1147,,,,,,2.8,1498,901,627,1491,1,7,37308,82400
54639,LA FARGE,WI,608,LA FARGE,,P,VERNON,55,123,6,Y,43.618759,-90.624476,814,,,,,,2.63,2181,795,1045,2145,2,8,29722,65900
54639,LA FARGE,WI,608,WEST LIMA,,N,VERNON,55,123,6,Y,43.618759,-90.624476,814,,,,,,2.63,2181,795,1045,2145,2,8,29722,65900
54640,LYNXVILLE,WI,608,LYNXVILLE,,P,CRAWFORD,55,23,6,Y,43.247984,-91.047858,680,,,,,,2.69,84,573,49,84,0,0,22188,36600
54641,MATHER,WI,608,MATHER,,P,JUNEAU,55,57,6,Y,44.142778,-90.308611,960,,,,,,2.6,0,768,0,0,0,0,,
54642,MELROSE,WI,608,MELROSE,,P,JACKSON,55,53,6,Y,44.132871,-90.995863,788,,,,,,2.63,1770,987,754,1759,0,5,38831,90200
54643,MILLSTON,WI,715,MILLSTON,,P,JACKSON,55,53,6,Y,44.193,-90.64752,911,,,,,,2.63,0,987,0,0,0,0,,
54644,MINDORO,WI,608,MINDORO,,P,LA CROSSE,55,63,6,Y,44.0276,-91.050353,992,3870,,29100,,LA CROSSE  WI-MN METROPOLITAN STATISTICAL AREA,2.66,1257,453,510,1232,1,11,39286,84600
54645,MOUNT STERLING,WI,608,MOUNT STERLING,MT STERLING,P,CRAWFORD,55,23,6,Y,43.314323,-90.930626,1173,,,,,,2.69,70,573,37,70,0,0,16250,37900
54645,MOUNT STERLING,WI,608,MT STERLING,,N,CRAWFORD,55,23,6,Y,43.314323,-90.930626,1173,,,,,,2.69,70,573,37,70,0,0,16250,37900
54646,NECEDAH,WI,608,CUTLER,,O,JUNEAU,55,57,6,Y,44.030823,-90.080789,916,,,,,,2.6,3632,768,2111,3558,8,37,33185,68500
54646,NECEDAH,WI,608,NECEDAH,,P,JUNEAU,55,57,6,Y,44.030823,-90.080789,916,,,,,,2.6,3632,768,2111,3558,8,37,33185,68500
